0,2,4,0.20570330840632503
0,3,3,0.11682024625890156
0,4,3,0.809560407733507
0,5,5,0.6845874523379253
0,6,4,0.018686151567875925
0,9,3,0.05217173560849929
0,10,2,0.018723917041376305
0,11,5,0.20570330840632503
0,12,5,0.018699296754087182
0,13,5,0.012983349574462308
0,14,5,0.01868868363243301
0,15,5,0.20573460903414775
0,16,3,0.018774342837662123
0,17,4,0.6845899844024823
0,18,5,0.018683673377032816
0,19,4,0.684582603703667
0,22,4,0.01875801910232601
0,23,3,0.01869434037240097
0,24,4,0.018699296754087182
0,26,2,0.11681092610638291
0,27,4,0.018719122280832036
0,28,1,0.2056984058983528
0,30,3,0.0187175599431266
0,32,4,0.2056892473669761
0,34,1,0.20567421660077553
0,35,2,0.01877337311081047
0,38,4,0.018719122280832036
0,40,2,0.1168040302709934
0,41,5,0.11678285790139904
0,42,4,0.2056984058983528
0,43,5,0.20573460903414775
0,44,5,0.02785147103253498
0,45,4,0.1168262262411534
0,46,4,0.018716536342560968
0,47,5,0.018737816459583292
0,48,3,0.2056773412761864
0,49,5,0.01299671025552949
0,50,4,0.2057202786262289
0,51,4,0.01872084623967941
0,52,3,0.11682493327201786
0,53,3,0.20572205645879027
0,54,5,0.01874686724353203
0,55,4,0.018748375707523485
0,56,5,0.20567631767562078
0,57,4,0.20570330840632503
0,58,5,0.11680397639727942
0,59,5,0.01872973540248621
0,60,4,0.20567421660077553
0,61,3,0.2056667820282462
0,63,5,0.018731567108761546
0,64,4,0.018716536342560968
0,65,4,0.20570707956630369
0,66,3,0.11681674446749282
0,68,3,0.018723917041376305
0,69,3,0.01875801910232601
0,70,3,0.11678285790139904
0,71,4,0.20568811601898251
0,72,3,0.11680165982757826
0,73,1,0.8095617007026426
0,75,4,0.20571494512854482
0,76,4,0.11682487939830388
0,77,1,0.20571494512854482
0,78,4,0.01875640289090659
0,79,4,0.11681426627664972
0,80,5,0.01875640289090659
0,81,5,0.20568332125843825
0,82,3,0.01872973540248621
0,83,4,0.018759527566317463
0,84,3,0.01877337311081047
0,85,5,0.20573460903414775
0,86,5,0.20573460903414775
0,87,4,0.20569420374866232
0,89,4,0.20566775175509786
0,90,5,0.11679422525504894
0,91,3,0.11678285790139904
0,93,2,0.018761305398878825
0,94,4,0.01872612586364951
0,95,5,0.018748375707523485
0,96,3,0.018770571677683482
0,97,4,0.018731567108761546
0,99,5,0.20573460903414775
0,100,2,0.20569711292921727
0,101,2,0.8095617007026426
0,102,1,0.20569711292921727
0,103,1,0.027847807619984302
0,105,4,0.02783547053948275
0,106,4,0.027847807619984302
0,107,5,0.02781014989391188
0,108,5,0.012985127407023667
0,109,1,0.20569711292921727
0,110,5,0.809560353859793
0,111,1,0.20567534794876913
0,112,5,0.20569134844182135
0,113,5,0.018719122280832036
0,114,5,0.20563203348272874
0,115,3,0.20570330840632503
0,116,3,0.012985127407023667
0,117,3,0.018705869347192813
0,119,1,0.027848777346835954
0,120,4,0.018700266480938834
0,121,3,0.027841288900592655
0,122,4,0.01868507409359631
0,123,5,0.01868200329189942
0,124,3,0.20570330840632503
0,125,2,0.01869434037240097
0,126,5,0.012983349574462308
0,127,4,0.018740671766424265
0,128,5,0.6845839505465166
0,129,3,0.018709909875741355
0,131,4,0.2056994833726324
0,133,4,0.018767285381130667
0,136,5,0.01868507409359631
0,138,3,0.20571710007710406
0,139,1,0.20571262855884367
0,141,2,0.20571828529881164
0,142,1,0.018743796441835138
0,144,2,0.018767285381130667
0,147,2,0.027803631174520234
0,148,2,0.20569420374866232
0,149,5,0.11677052082089748
0,150,4,0.01875640289090659
0,151,5,0.20568332125843825
0,152,3,0.1168262262411534
0,153,5,0.20573460903414775
0,154,2,0.20566241825741377
0,155,4,0.012975268517365222
0,156,4,0.11680941764239146
0,158,3,0.01877337311081047
0,159,4,0.01873927104986077
0,160,4,0.01872612586364951
0,161,4,0.20567421660077553
0,162,4,0.01873361430989281
0,163,3,0.11682304769202854
0,164,5,0.012973221316233961
0,166,2,0.20567222327335824
0,167,5,0.012971066367674738
0,168,5,0.20573460903414775
0,169,5,0.11680607747212467
0,170,5,0.809560353859793
0,171,5,0.012971066367674738
0,173,5,0.018774342837662123
0,174,5,0.01873927104986077
0,176,5,0.11679772704645768
0,177,5,0.20573460903414775
0,179,3,0.018740671766424265
0,181,4,0.018737816459583292
0,182,5,0.018723917041376305
0,183,4,0.018761305398878825
0,184,4,0.018743796441835138
0,185,4,0.018770571677683482
0,187,3,0.018770571677683482
0,188,3,0.7546747299095223
0,189,5,0.018716536342560968
0,190,5,0.018761305398878825
0,191,4,0.01873927104986077
0,192,4,0.1167951949819006
0,194,5,0.11680602359841068
0,195,5,0.012981787236756871
0,197,5,0.20569021709382776
0,198,4,0.018723917041376305
0,199,3,0.11681911491090796
0,200,3,0.20570330840632503
0,201,5,0.01873361430989281
0,202,4,0.2056640344688332
0,203,5,0.01874686724353203
0,205,4,0.11682487939830388
0,206,5,0.018767285381130667
0,207,5,0.20570330840632503
0,208,4,0.7546736524352428
0,209,4,0.20570056084691202
0,211,4,0.01875801910232601
0,212,2,0.11680823242068389
0,213,4,0.018737816459583292
0,214,3,0.11682164697546504
0,215,5,0.11679772704645768
0,216,3,0.11679638020360816
0,217,3,0.11680607747212467
0,218,1,0.20566920634537533
0,220,5,0.6845846509047983
0,221,4,0.223504691969498
0,222,5,0.11680941764239146
0,223,5,0.01868200329189942
0,224,2,0.20569134844182135
0,225,3,0.20571494512854482
0,226,4,0.11681092610638291
0,227,5,0.20573460903414775
0,228,4,0.20565563016945224
0,229,4,0.20567421660077553
0,230,1,0.11681550537207126
0,231,3,0.20571602260282446
0,232,2,0.20568132793102095
0,234,5,0.01868766003186738
0,235,4,0.018704307009487376
0,237,4,0.01872246245109883
0,239,3,0.018704307009487376
0,240,4,0.20571262855884367
0,241,5,0.8095561517101025
0,242,1,0.02783547053948275
0,243,2,0.6845874523379253
0,244,2,0.01869434037240097
0,247,4,0.01299671025552949
0,249,4,0.012983349574462308
0,250,4,0.018701343955218445
0,251,2,0.027797058581414603
0,252,5,0.012997572234953179
0,253,1,0.2056188344228035
0,254,2,0.5721987500436377
0,257,5,0.22350474584321198
0,258,1,0.05216424716225599
0,259,1,0.01869434037240097
0,260,1,0.052164947520537734
0,261,3,0.018678609247918643
0,262,1,0.052165755626247444
0,263,2,0.01869434037240097
0,264,4,0.20567534794876913
0,265,1,0.5721936859145236
0,266,4,0.052162954193120455
0,271,3,0.6845698895071676
1,12,4,0.7449232644367546
1,18,3,0.744866643163361
1,49,5,0.7449319919784195
1,99,5,0.7449319919784195
1,126,5,0.7449319919784195
1,236,4,0.7449283824395828
1,250,5,0.7449319919784195
1,254,4,0.744891963808932
1,256,4,0.7448769330427313
1,268,4,0.744861417413105
1,271,5,0.7679348287527028
1,273,3,0.7449003681083128
1,274,5,0.7448703065759117
1,277,3,0.74490844916541
1,278,4,0.7449137287893801
1,279,3,0.74489735118033
1,280,3,0.767998345861486
1,283,4,0.7449283824395828
1,284,5,0.7449319919784195
1,285,4,0.7448175642099247
1,287,3,0.7448332953344071
1,288,3,0.7679505598771852
1,289,3,0.74489735118033
1,291,4,0.744861417413105
1,295,3,0.744866643163361
1,296,4,0.744866643163361
1,297,3,0.74489735118033
1,298,4,0.744861417413105
1,299,4,0.7679421555778042
1,300,4,0.7448537134720057
1,301,5,0.7449319919784195
1,302,4,0.744861417413105
1,303,4,0.7679421555778042
1,306,3,0.7448232748236067
1,307,3,0.7679824531158617
1,310,5,0.7449319919784195
1,311,3,0.7448537134720057
1,312,5,0.7449319919784195
1,313,1,0.7679899954358189
1,314,1,0.744861417413105
1,315,5,0.7679688769399385
2,244,1,0.7818442674704912
2,263,2,0.7818469611561902
2,270,3,0.7818430283750697
2,271,2,0.7818339237174069
2,293,2,0.7818430283750697
2,298,3,0.7818416815322201
2,299,2,0.7818276743665852
2,306,3,0.7818430283750697
2,317,4,0.7818569277932766
2,318,2,0.7818323613797015
2,322,2,0.7818454526921987
2,323,2,0.7818442674704912
2,324,1,0.7818469611561902
2,325,2,0.7818430283750697
2,326,4,0.7818554732029992
2,327,5,0.7818554732029992
2,329,2,0.7818469611561902
2,330,4,0.7818554732029992
2,331,1,0.7818430283750697
2,332,2,0.7818276743665852
2,333,3,0.7818375332562436
2,334,1,0.7818454526921987
2,335,1,0.7818416276585062
2,336,1,0.7818300448100003
2,339,5,0.7818554732029992
2,340,1,0.7818339237174069
2,342,3,0.7818375332562436
2,343,4,0.7818276743665852
2,344,3,0.7818311761579939
2,345,5,0.7818554732029992
2,346,5,0.7818554732029992
2,347,4,0.7818554732029992
2,348,3,0.7818454526921987
2,349,3,0.7818350550654005
2,350,3,0.7818479308830419
2,351,2,0.7818339237174069
2,352,1,0.7818375332562436
2,353,3,0.7818311761579939
3,10,4,0.930927541578655
3,49,5,0.9308739911069582
3,259,4,0.9309143425187297
3,263,3,0.9309143425187297
3,287,4,0.9307618799081647
3,293,5,0.9309215615964032
3,300,5,0.9308107972404591
3,302,5,0.9308107433667451
3,323,5,0.9308107972404591
3,326,5,0.9308107433667451
3,353,5,0.9308107972404591
3,355,3,0.9308703815681216
3,356,4,0.9308739372332443
3,357,2,0.9309143425187297
3,358,5,0.9308107433667451
3,359,5,0.9308107433667451
3,360,5,0.9308107972404591
3,361,5,0.9308107433667451
4,0,4,0.049081000637433786
4,1,3,0.04909743212019786
4,16,4,0.049105243808725045
4,23,4,0.2410050830926615
4,39,4,0.24099861824698382
4,41,5,0.0491139713503899
4,61,4,0.04917942791287629
4,62,1,0.22195533782913068
4,65,1,0.05367486610227127
4,68,1,0.05370374241296486
4,78,3,0.04908892007338893
4,79,2,0.049122106281200964
4,88,5,0.049096354645918244
4,89,3,0.049110577306409116
4,93,3,0.22195652305083827
4,97,3,0.05365719552408565
4,99,5,0.04905950502555553
4,101,3,0.05368440174964583
4,104,3,0.04906456915466971
4,108,5,0.049059558899269516
4,109,1,0.04912113655434931
4,120,4,0.04905088523131864
4,138,3,0.05368784966734059
4,142,3,0.04913848389025106
4,143,3,0.04910217300702815
4,144,1,0.05366468397032895
4,152,5,0.04911477945609961
4,153,3,0.04913180354971747
4,162,5,0.2409854191870586
4,166,2,0.04910971532698543
4,168,5,0.22194811875145729
4,172,4,0.049130941570293775
4,173,5,0.04910158039617436
4,175,3,0.04909252961222563
4,180,5,0.04908148550085961
4,184,3,0.053657249397799624
4,188,5,0.22194811875145729
4,199,2,0.05365859624064914
4,203,4,0.049130941570293775
